title,price,photo
Ноутбук Acer Aspire A315-59-30Z5 Intel Core i3-1215U 8GB DDR4 128GB SSD NVMe FHD Pure Silver,30640 сом,/images/product/131584/1705157938_86125800.jpg
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 500GB HDD+128GB SSD NVMe NVIDIA MX230 Black,38940 сом,/images/product/122624/1687495787_10415400.jpg
Ноутбук Acer Aspire A315-59 Intel Core i7-1255U 12GB DDR4 512GB SSD NVMe FHD Pure Silver,59040 сом,/images/product/124928/1692111561_19985400.jpg
Ноутбук Lenovo V15 GEN3 ITL Intel Core i7-1255U 24GB DDR4 1000GB HDD + 512GB SSD NVMe Intel Iris Xe Graphics FHD DOS Black,62830 сом,/images/product/125184/1692265042_80689500.png
Ноутбук HP Envy x360 14-ES0013DX Intel Core i5-1335U 8GB DDR4 128GB SSD Intel Iris Xe Graphics FHD DOS Silver,61260 сом,/images/product/125440/1692867184_44310200.jpg
Ноутбук Acer Aspire A315-59-30Z5 Intel Core i3-1215U 12GB DDR4 128GB SSD NVMe FHD Pure Silver,31390 сом,/images/product/131585/1705158146_81739900.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 128GB SSD NVidia MX330 2GB FHD DOS серый,43130 сом,/images/product/102145/1641270001_36821200.jpg
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 256GB SSD NVMe FHD IPS DOS black,33630 сом,/images/product/109825/1660972390_77154700.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 12GB DDR 128GB SSD Intel UHD Graphics FHD DOS Platinum Grey,31850 сом,/images/product/118529/1678876880_14421100.png
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 4GB DDR4 500GB HDD+256GB SSD NVMe NVIDIA MX230 Black,37820 сом,/images/product/122625/1687495979_87790000.jpg
Ноутбук Acer Aspire A315-59 Intel Core i7-1255U 16GB DDR4 512GB SSD NVMe FHD Pure Silver,58570 сом,/images/product/124929/1692111768_44089800.jpg
Ноутбук Lenovo V15 GEN3 ITL Intel Core i7-1255U 24GB DDR4 1000GB HDD + 1000GB SSD NVMe Intel Iris Xe Graphics FHD DOS Black,64700 сом,/images/product/125185/1692265139_62469200.png
Ноутбук HP Envy x360 14-ES0013DX Intel Core i5-1335U 8GB DDR4 256GB SSD Intel Iris Xe Graphics FHD DOS Silver,61440 сом,/images/product/125441/1692867255_98964000.jpg
Ноутбук Acer Aspire A315-34 Intel Celeron N4020 12GB DDR4 256GB SSD NVMe FHD Black,27650 сом,/images/product/126721/1695135528_62182900.jpg
Ноутбук HP 15F-fd0333nia Intel Core i3-1315U 4GB DDR4 128GB SSD NVMe FHD Warm Gold,36330 сом,/images/product/130817/1703059041_37310800.png
Ноутбук Acer Aspire A315-59-30Z5 Intel Core i3-1215U 16GB DDR4 128GB SSD NVMe FHD Pure Silver,32690 сом,/images/product/131586/1705158395_61315800.jpg
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 512GB SSD NVMe FHD IPS DOS black,34750 сом,/images/product/109826/1660972408_16652500.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 12GB DDR 256GB SSD Intel UHD Graphics FHD DOS Platinum Grey,32790 сом,/images/product/118530/1678876967_96172300.png
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 500GB HDD+256GB SSD NVMe NVIDIA MX230 Black,39420 сом,/images/product/122626/1687495985_40674400.jpg
Ноутбук Asus TUF Gaming F15 FX507ZI Intel Core i7-12700H 16GB DDR4 1000GB SSD Nvidia RTX4070 8GB FHD W11 Mecha Grey,123040 сом,/images/product/123394/1689067754_89637100.jpg
Ноутбук Acer Aspire A315-59 Intel Core i7-1255U 24GB DDR4 512GB SSD NVMe FHD Pure Silver,60610 сом,/images/product/124930/1692111856_42117200.jpg
Ноутбук Acer Aspire A315-59 Intel Core i5-1235U 8GB DDR4 256GB SSD Intel Iris Xe Graphics FHD DOS Pure Silver,40150 сом,/images/product/125186/1692265746_13875800.jpg
Ноутбук HP Envy x360 14-ES0013DX Intel Core i5-1335U 8GB DDR4 512GB SSD Intel Iris Xe Graphics FHD DOS + W11 Silver,62930 сом,/images/product/125442/1692867341_67246700.jpg
Ноутбук Acer Aspire A315-34 Intel Celeron N4020 12GB DDR4 512GB SSD NVMe FHD Black,29050 сом,/images/product/126722/1695135811_04312900.jpg
Ноутбук HP 15F-fd0333nia Intel Core i3-1315U 8GB DDR4 128GB SSD NVMe FHD Warm Gold,36800 сом,/images/product/130818/1703059066_54620900.png
Ноутбук Acer Aspire A315-59-30Z5 Intel Core i3-1215U 24GB DDR4 128GB SSD NVMe FHD Pure Silver,33910 сом,/images/product/131587/1705158476_83806000.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 128GB SSD NVidia MX330 2GB FHD DOS серый,44810 сом,/images/product/102147/1641270173_94246400.jpg
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 4GB DDR4 512GB SSD NVMe FHD IPS DOS black,33730 сом,/images/product/109827/1660972423_34011300.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 12GB DDR 512GB SSD Intel UHD Graphics FHD DOS Platinum Grey,33810 сом,/images/product/118531/1678877059_71545800.png
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 4GB DDR4 128GB SSD NVMe NVIDIA MX330 Black,35590 сом,/images/product/122627/1687496964_87427500.jpg
Ноутбук Acer Aspire A315-59 Intel Core i7-1255U 32GB DDR4 512GB SSD NVMe FHD Pure Silver,62930 сом,/images/product/124931/1692111985_99171900.jpg
Ноутбук HP Envy x360 14-ES0013DX Intel Core i5-1335U 8GB DDR4 1000GB SSD Intel Iris Xe Graphics FHD DOS Silver,65250 сом,/images/product/125443/1692867434_14446300.jpg
Ноутбук Acer Aspire A315-34 Intel Celeron N4020 4GB DDR4 1TB HDD+256GB SSD NVMe FHD Black,27650 сом,/images/product/126723/1695136147_67220700.jpg
Ноутбук HP 15F-fd0333nia Intel Core i3-1315U 12GB DDR4 128GB SSD NVMe FHD Warm Gold,37450 сом,/images/product/130819/1703059092_66069400.png
Ноутбук Acer Aspire A315-59-30Z5 Intel Core i3-1215U 32GB DDR4 128GB SSD NVMe FHD Pure Silver,35130 сом,/images/product/131588/1705158547_76662600.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 12GB DDR 1000GB HDD + 128GB SSD Intel UHD Graphics FHD DOS Platinum Grey,32410 сом,/images/product/118532/1678877167_29697100.png
Ноутбук Acer Aspire A315-57G Intel Core i3-1005G1 8GB DDR4 128GB SSD NVMe NVIDIA MX330 Black,37170 сом,/images/product/122628/1687496974_36427000.jpg
Ноутбук Acer Aspire A315-59 Intel Core i7-1255U 8GB DDR4 256GB SSD NVMe FHD Pure Silver,56890 сом,/images/product/124932/1692112170_20730300.jpg
Ноутбук Acer Aspire A315-59 Intel Core i5-1235U 8GB DDR4 512GB SSD Intel Iris Xe Graphics FHD DOS Pure Silver,41090 сом,/images/product/125188/1692265958_63348400.jpg
Ноутбук HP Envy x360 14-ES0013DX Intel Core i5-1335U 8GB DDR4 2000GB SSD Intel Iris Xe Graphics FHD DOS Silver,68950 сом,/images/product/125444/1692867606_39219200.jpg
